Sno,variables_Batch,variables,Type,Module
247,MAX_DAYS_PAST_DUE_210_TO_240_DAYS,MAX_DAYS_PAST_DUE_210_TO_240_DAYS,Numerical,BUREAU
248,NUM_MAINMONEYCLICK_91_TO_120_D,NUM_MAINMONEYCLICK_91_TO_120_D,Numerical,ACTIVITY
249,MIN_CREDIT_PAIDBACK_LAST30D,MIN_CREDIT_PAIDBACK_LAST30D,Numerical,Transaction
250,MIN_DAYS_SINCE_LAST_PAYMENT_ACTIVE_P90,MIN_DAYS_SINCE_LAST_PAYMENT_ACTIVE_P90,Numerical,LOCATION
251,PERC_CUSTOMERS_WITH_NUM_TRXNS_WITH_DESCRIPTION_LAST30D_BETWEEN_0_5,PERC_CUSTOMERS_WITH_NUM_TRXNS_WITH_DESCRIPTION_LAST30D_BETWEEN_0_5,Numerical,Transaction
252,UNSECURED_ACCOUNT_OPENED_IN_LAST_180_DAYS_WITH_AMOUNT_GT_50000,UNSECURED_ACCOUNT_OPENED_IN_LAST_180_DAYS_WITH_AMOUNT_GT_50000,Numerical,BUREAU
253,TOTAL_REPAYMENT_TENURE_UNSECURED_P90,TOTAL_REPAYMENT_TENURE_UNSECURED_P90,Numerical,LOCATION
254,RATIO_COUNT_CREDITS_NOT_RECOVERED_60TO90D_COUNT_CREDITS_NOT_RECOVERED_LIFETIME,RATIO_COUNT_CREDITS_NOT_RECOVERED_60TO90D_COUNT_CREDITS_NOT_RECOVERED_LIFETIME,Numerical,Transaction
255,RATIO_NUM_CREDIT_TXNS_5000_TO_10000_LAST30D_VS_120TO150D_CC_SMS_BANKING,RATIO_CREDIT_CARD_NUM_CREDIT_TXNS_5000_TO_10000_LAST30D_VS_120TO150D,Numerical,SMS
256,MAX_AVAILABLE_BALANCE_LAST30D_SMS_BANKING,MAX_AVAILABLE_BALANCE_LAST30D,Numerical,SMS
257,ACCOUNT_OPENED_IN_LAST_180_DAYS_WITH_AMOUNT_LT_100000,ACCOUNT_OPENED_IN_LAST_180_DAYS_WITH_AMOUNT_LT_100000,Numerical,BUREAU
258,TOTAL_REPAYMENT_TENURE_UNSECURED,UNSECURED_TERMS_DURATION_TOTAL,Numerical,BUREAU
