Sno,variables_Batch,variables,Type,Module
16,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_450_TO_480_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_450_TO_480_DAYS,Numerical,BUREAU
17,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_60TO90D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_60TO90D,Numerical,Transaction
18,MAX_REPAYMENT_TENURE_SECURED_P50,MAX_REPAYMENT_TENURE_SECURED_P50,Numerical,LOCATION
19,AVG_AVAILABLE_BALANCE_LAST30D_SMS_BANKING,AVG_AVAILABLE_BALANCE_LAST30D,Numerical,SMS
20,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_P25,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_P25,Numerical,LOCATION
21,MIN_AVAILABLE_LIMIT_LAST30D_CC_SMS_BANKING,MIN_CREDIT_CARD_AVAILABLE_LIMIT_LAST30D,Numerical,SMS
22,MIN_CURRENT_BALANCE_ACTIVE_MAX,MIN_CURRENT_BALANCE_ACTIVE_MAX,Numerical,LOCATION
23,OUTSTANDING_BALANCE_ALL_MIN,OUTSTANDING_BALANCE_ALL_MIN,Numerical,LOCATION
24,DISTINCT_BANKS_EMI_OVERDUE_60TO90D,DISTINCT_BANKS_EMI_OVERDUE_60TO90D,Numerical,SMS
25,DISTINCT_BANKS_EMI_OVERDUE_30TO60D,DISTINCT_BANKS_EMI_OVERDUE_30TO60D,Numerical,SMS
26,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_360_TO_390_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_360_TO_390_DAYS,Numerical,BUREAU
27,MAX_OVERDUE_AMOUNT_30TO60D,MAX_OVERDUE_AMOUNT_30TO60D,Numerical,SMS
28,AVG_AMOUNT_PAST_DUE_UNSECURED_AND_ACTIVE,AVG_AMOUNT_PAST_DUE_UNSECURED_AND_ACTIVE,Numerical,BUREAU
29,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_210TO240D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_210TO240D,Numerical,Transaction
30,MAX_DPD_45_60_D,MAX_DPD_45_60_D,Numerical,PERFORMANCE
31,NUM_PAYMENTPAYNOWCLICK_31_TO_60_D,NUM_PAYMENTPAYNOWCLICK_31_TO_60_D,Numerical,ACTIVITY
32,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_570_TO_600_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_570_TO_600_DAYS,Numerical,BUREAU
33,TIMES_DPD_GT_30_LAST_660_DAYS,TIMES_DPD_GT_30_LAST_660_DAYS,Numerical,BUREAU
34,DISTINCT_BANKS_WITH_LOAN_REJECTED_60TO90D,DISTINCT_BANKS_WITH_LOAN_REJECTED_60TO90D,Numerical,SMS
35,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_31_TO_60_D,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_31_TO_60_D,Numerical,ACTIVITY
36,TOTAL_AVAILABLE_BALANCE_LAST30D_SMS_BANKING,TOTAL_AVAILABLE_BALANCE_LAST30D,Numerical,SMS
37,TOTAL_AMOUNT_PAST_DUE_UNSECURED,TOTAL_AMOUNT_PAST_DUE_UNSECURED,Numerical,BUREAU
38,TOTAL_OVERDUE_AMOUNT_LAST_30D,TOTAL_OVERDUE_AMOUNT_LAST_30D,Numerical,SMS
39,COUNT_2_DPD_210_270_D,COUNT_2_DPD_210_270_D,Numerical,PERFORMANCE
40,MAX_DPD_120_150_D,MAX_DPD_120_150_D,Numerical,PERFORMANCE
41,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_330_TO_360_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_330_TO_360_DAYS,Numerical,BUREAU
42,RATIO_COUNT_DEBIT_WEEK_OF_MONTH_FIRST_TRXNS_LAST30D_COUNT_DEBIT_WEEK_OF_MONTH_FIRST_TRXNS_120TO150D,RATIO_COUNT_DEBIT_WEEK_OF_MONTH_FIRST_TRXNS_LAST30D_COUNT_DEBIT_WEEK_OF_MONTH_FIRST_TRXNS_120TO150D,Numerical,Transaction
43,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_30TO60D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_30TO60D,Numerical,Transaction
44,NUM_LOAN_REJECTION_SMS_30TO60D,NUM_LOAN_REJECTION_30TO60D,Numerical,SMS
45,COUNT_4_DPD_210_270_D,COUNT_4_DPD_210_270_D,Numerical,PERFORMANCE
46,MAX_AVAILABLE_LIMIT_LAST30D_CC_SMS_BANKING,MAX_CREDIT_CARD_AVAILABLE_LIMIT_LAST30D,Numerical,SMS
47,DISTINCT_BANKS_WITH_LOAN_REJECTED_LAST_30D,DISTINCT_BANKS_WITH_LOAN_REJECTED_LAST_30D,Numerical,SMS
48,TOTAL_AMOUNT_PAST_DUE_ACTIVE,TOTAL_AMOUNT_PAST_DUE_ACTIVE,Numerical,BUREAU
49,MIN_CURRENT_BALANCE_ACTIVE_P25,MIN_CURRENT_BALANCE_ACTIVE_P25,Numerical,LOCATION
50,MAX_DAYS_PAST_DUE_90_TO_120_DAYS,MAX_DAYS_PAST_DUE_90_TO_120_DAYS,Numerical,BUREAU
51,COUNT_0_DPD_120_150_D,COUNT_0_DPD_120_150_D,Numerical,PERFORMANCE
52,NUM_CUSTOMERKHATAONGOTCLICKED_1_TO_30_D,NUM_CUSTOMERKHATAONGOTCLICKED_1_TO_30_D,Numerical,ACTIVITY
53,MIN_CREDIT_RECOVERED_LAST30D,MIN_CREDIT_RECOVERED_LAST30D,Numerical,Transaction
54,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_330TO360D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_330TO360D,Numerical,Transaction
55,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_150TO180D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_150TO180D,Numerical,Transaction
56,TOTAL_OVERDUE_AMOUNT_30TO60D,TOTAL_OVERDUE_AMOUNT_30TO60D,Numerical,SMS
57,NUM_DEBIT_TXNS_LESSTHAN_100_LAST30D_SMS_BANKING,NUM_DEBIT_TXNS_LESSTHAN_100_LAST30D,Numerical,SMS
58,MIN_AVAILABLE_BALANCE_LAST30D_SMS_BANKING,MIN_AVAILABLE_BALANCE_LAST30D,Numerical,SMS
59,MIN_AVAILABLE_BALANCE_60TO90D_SMS_BANKING,MIN_AVAILABLE_BALANCE_60TO90D,Numerical,SMS
60,RATIO_COUNT_CREDIT_TIME_OF_DAY_MORNING_TRXNS_30TO60D_COUNT_CREDIT_TIME_OF_DAY_MORNING_TRXNS_120TO150D,RATIO_COUNT_CREDIT_TIME_OF_DAY_MORNING_TRXNS_30TO60D_COUNT_CREDIT_TIME_OF_DAY_MORNING_TRXNS_120TO150D,Numerical,Transaction
61,AVG_AMOUNT_PAST_DUE_ACTIVE,AVG_AMOUNT_PAST_DUE_ACTIVE,Numerical,BUREAU
62,RATIO_AVG_CREDIT_WEEK_OF_MONTH_FIRST_TRXNS_LAST30D_AVG_CREDIT_WEEK_OF_MONTH_THIRD_TRXNS_LAST30D,RATIO_AVG_CREDIT_WEEK_OF_MONTH_FIRST_TRXNS_LAST30D_AVG_CREDIT_WEEK_OF_MONTH_THIRD_TRXNS_LAST30D,Numerical,Transaction
63,MAX_DAYS_PAST_DUE_UNSECURED_120_TO_150_DAYS,MAX_DAYS_PAST_DUE_UNSECURED_120_TO_150_DAYS,Numerical,BUREAU
64,AVG_AMOUNT_PAST_DUE_UNSECURED,UNSECURED_AMOUNT_PAST_DUE_AVG,Numerical,BUREAU
65,COUNT_0_DPD_90_120_D,COUNT_0_DPD_90_120_D,Numerical,PERFORMANCE
66,MAX_DAYS_SINCE_LAST_PAYMENT_ACTIVE_MIN,MAX_DAYS_SINCE_LAST_PAYMENT_ACTIVE_MIN,Numerical,LOCATION
67,MAX_DPD_30_45_D,MAX_DPD_30_45_D,Numerical,PERFORMANCE
68,MIN_DAYS_SINCE_LAST_PAYMENT_ACTIVE_AVG,MIN_DAYS_SINCE_LAST_PAYMENT_ACTIVE_AVG,Numerical,LOCATION
69,MIN_AVAILABLE_BALANCE_120TO150D_SMS_BANKING,MIN_AVAILABLE_BALANCE_120TO150D,Numerical,SMS
70,NUM_PAYMENTPAYNOWCLICK_61_TO_90_D,NUM_PAYMENTPAYNOWCLICK_61_TO_90_D,Numerical,ACTIVITY
71,AVG_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_P95,AVG_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_P95,Numerical,LOCATION
72,AVG_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_CLOSED_P10,AVG_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_CLOSED_P10,Numerical,LOCATION
73,MAX_DAYS_PAST_DUE_UNSECURED_630_TO_660_DAYS,MAX_DAYS_PAST_DUE_UNSECURED_630_TO_660_DAYS,Numerical,BUREAU
74,MIN_CURRENT_BALANCE_ACTIVE_P90,MIN_CURRENT_BALANCE_ACTIVE_P90,Numerical,LOCATION
75,MIN_CURRENT_BALANCE_ACTIVE_MIN,MIN_CURRENT_BALANCE_ACTIVE_MIN,Numerical,LOCATION
76,COUNT_4_DPD_30_45_D,COUNT_4_DPD_30_45_D,Numerical,PERFORMANCE
77,TOTAL_CREDIT_COUNT_BANK_TRANSFER_LAST30D_SMS_BANKING,TOTAL_CREDIT_COUNT_BANK_TRANSFER_LAST30D,Numerical,SMS
78,RATIO_AVG_DEBIT_AMOUNT_AVG_CDT_AMT_LAST30D_SMS_BANKING,RATIO_AVG_DEBIT_AMOUNT_AVG_CDT_AMT_LAST30D,Numerical,SMS
79,COUNT_3_DPD_150_180_D,COUNT_3_DPD_150_180_D,Numerical,PERFORMANCE
80,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_1_TO_30_D,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_1_TO_30_D,Numerical,ACTIVITY
81,NUM_AVAILABLE_BALANCE_60TO90D_SMS_BANKING,NUM_AVAILABLE_BALANCE_60DTO90D,Numerical,SMS
82,NUM_LOAN_REJECTION_SMS_60TO90D,NUM_LOAN_REJECTION_60TO90D,Numerical,SMS
83,CREDIT_RECOVERED_61TO90_LAST30D,CREDIT_RECOVERED_61TO90_LAST30D,Numerical,Transaction
84,MIN_CURRENT_BALANCE_ACTIVE_TOTAL,MIN_CURRENT_BALANCE_ACTIVE_TOTAL,Numerical,LOCATION
85,MAX_DAYS_PAST_DUE_ACTIVE_60_TO_90_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_60_TO_90_DAYS,Numerical,BUREAU
86,MIN_AVAILABLE_BALANCE_30TO60D_SMS_BANKING,MIN_AVAILABLE_BALANCE_30TO60D,Numerical,SMS
87,RATIO_COUNT_CREDITS_FULLY_RECOVERED_30TO60D_COUNT_CREDITS_FULLY_RECOVERED_300TO330D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_30TO60D_COUNT_CREDITS_FULLY_RECOVERED_300TO330D,Numerical,Transaction
88,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_150_TO_180_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_150_TO_180_DAYS,Numerical,BUREAU
89,NUM_AVAILABLE_BALANCE_LAST30D_SMS_BANKING,NUM_AVAILABLE_BALANCE_LAST30D,Numerical,SMS
90,MAX_DAYS_SINCE_LAST_PAYMENT_ACTIVE_P10,MAX_DAYS_SINCE_LAST_PAYMENT_ACTIVE_P10,Numerical,LOCATION
91,COUNT_2_DPD_120_150_D,COUNT_2_DPD_120_150_D,Numerical,PERFORMANCE
92,MAX_OVERDUE_AMOUNT_LAST_30D,MAX_OVERDUE_AMOUNT_LAST_30D,Numerical,SMS
93,NUM_CREDIT_CARD_OVERDUE_30D_SMS_BANKING,NUM_CREDIT_CARD_OVERDUE_30D,Numerical,SMS
94,COUNT_3_DPD_210_270_D,COUNT_3_DPD_210_270_D,Numerical,PERFORMANCE
95,COUNT_2_DPD_90_120_D,COUNT_2_DPD_90_120_D,Numerical,PERFORMANCE
96,NUM_SMS_WITH_OVERDUE_AMOUNT_60TO90D,NUM_OVERDUE_AMOUNT_60TO90D,Numerical,SMS
97,MAX_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_SECURED_AND_ACTIVE_MIN,MAX_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_SECURED_AND_ACTIVE_MIN,Numerical,LOCATION
98,RATIO_TOTAL_DEBIT_COUNT_BANK_TRANSFER_LAST30D_VS_60TO90D_SMS_BANKING,RATIO_TOTAL_DEBIT_COUNT_BANK_TRANSFER_LAST30D_VS_60TO90D,Numerical,SMS
99,NUM_LOAN_OVERDUE_30D_SMS_BANKING,NUM_LOAN_OVERDUE_30D,Numerical,SMS
100,BUREAUSCORE_P25,BUREAUSCORE_P25,Numerical,LOCATION
101,CUSTOMERS_WITH_NUM_CREDIT_TXNS_100_TO_500_LAST30D_BETWEEN_0_5,CUSTOMERS_WITH_NUM_CREDIT_TXNS_100_TO_500_LAST30D_BETWEEN_0_5,Numerical,Transaction
102,COUNT_2_DPD_60_90_D,COUNT_2_DPD_60_90_D,Numerical,PERFORMANCE
103,NUM_LOAN_DEFAULT_90D_SMS_BANKING,NUM_LOAN_DEFAULT_90D,Numerical,SMS
104,RATIO_COUNT_DEBIT_WEEK_OF_MONTH_FIRST_TRXNS_LAST30D_COUNT_DEBIT_WEEK_OF_MONTH_SECOND_TRXNS_150TO180D,RATIO_COUNT_DEBIT_WEEK_OF_MONTH_FIRST_TRXNS_LAST30D_COUNT_DEBIT_WEEK_OF_MONTH_SECOND_TRXNS_150TO180D,Numerical,Transaction
105,NUM_CUSTOMERKHATAONGAVECLICKED_91_TO_120_D,NUM_CUSTOMERKHATAONGAVECLICKED_91_TO_120_D,Numerical,ACTIVITY
106,TOTAL_AVAILABLE_BALANCE_60TO90D_SMS_BANKING,TOTAL_AVAILABLE_BALANCE_60TO90D,Numerical,SMS
107,NUM_CREDIT_TXNS_30D_SMS_BANKING,NUM_CREDIT_TXNS_30D,Numerical,SMS
108,MIN_AVAILABLE_LIMIT_30TO60D_CC_SMS_BANKING,MIN_CREDIT_CARD_AVAILABLE_LIMIT_30TO60D,Numerical,SMS
109,NUM_CREDIT_TXNS_2000_TO_5000_LAST30D_SMS_BANKING,NUM_CREDIT_TXNS_2000_TO_5000_LAST30D,Numerical,SMS
110,RATIO_AVG_DEBIT_AMOUNT_AVG_CDT_AMT_30TO60D_SMS_BANKING,RATIO_AVG_DEBIT_AMOUNT_AVG_CDT_AMT_30TO60D,Numerical,SMS
111,NUM_CHEQUE_BOUNCES_120D_SMS_BANKING,NUM_CHEQUE_BOUNCES_120D,Numerical,SMS
112,DISTINCT_BANKS_WITH_LOAN_APPLIED_LAST_30D,DISTINCT_BANKS_WITH_LOAN_APPLIED_LAST_30D,Numerical,SMS
113,NUM_SMS_WITH_OVERDUE_AMOUNT_30TO60D,NUM_OVERDUE_AMOUNT_30TO60D,Numerical,SMS
114,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_630_TO_660_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_630_TO_660_DAYS,Numerical,BUREAU
115,DISTINCT_BANKS_WITH_LOAN_REJECTED_90TO120D,DISTINCT_BANKS_WITH_LOAN_REJECTED_90TO120D,Numerical,SMS
116,NUM_PAYMENTPAYNOWCLICK_91_TO_120_D,NUM_PAYMENTPAYNOWCLICK_91_TO_120_D,Numerical,ACTIVITY
117,MAX_REPAYMENT_TENURE_SECURED_P75,MAX_REPAYMENT_TENURE_SECURED_P75,Numerical,LOCATION
118,DISTINCT_BANKS_EMI_OVERDUE_90TO120D,DISTINCT_BANKS_EMI_OVERDUE_90TO120D,Numerical,SMS
119,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_CLOSED_MIN,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_CLOSED_MIN,Numerical,LOCATION
120,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_690_TO_720_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_690_TO_720_DAYS,Numerical,BUREAU
121,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_121_TO_150_D,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_121_TO_150_D,Numerical,ACTIVITY
122,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_60_TO_90_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_60_TO_90_DAYS,Numerical,BUREAU
123,COUNT_0_DPD_150_180_D,COUNT_0_DPD_150_180_D,Numerical,PERFORMANCE
124,MAX_DAYS_PAST_DUE_CLOSED_360_TO_390_DAYS,MAX_DAYS_PAST_DUE_CLOSED_360_TO_390_DAYS,Numerical,BUREAU
125,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_151_TO_180_D,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_151_TO_180_D,Numerical,ACTIVITY
126,TOTAL_DEBIT_AMOUNT_30TO60D_SMS_BANKING,TOTAL_DEBIT_AMOUNT_30TO60D,Numerical,SMS
127,COUNT_2_DPD_150_180_D,COUNT_2_DPD_150_180_D,Numerical,PERFORMANCE
128,MIN_DAYS_SINCE_LAST_PAYMENT_ACTIVE_TOTAL,MIN_DAYS_SINCE_LAST_PAYMENT_ACTIVE_TOTAL,Numerical,LOCATION
129,AVG_CREDIT_TXNS_LAST30D_CC_SMS_BANKING,AVG_CREDIT_CARD_CREDIT_TXNS_LAST30D,Numerical,SMS
130,TOTAL_AVAILABLE_BALANCE_90TO120D_SMS_BANKING,TOTAL_AVAILABLE_BALANCE_90TO120D,Numerical,SMS
131,NUM_CUSTOMERKHATAONGOTCLICKED_31_TO_60_D,NUM_CUSTOMERKHATAONGOTCLICKED_31_TO_60_D,Numerical,ACTIVITY
132,RATIO_CREDIT_GIVEN_LAST30D_CREDIT_RECOVERED_LAST30D,RATIO_CREDIT_GIVEN_LAST30D_CREDIT_RECOVERED_LAST30D,Numerical,Transaction
133,RATIO_AVG_DEBIT_AMOUNT_AVG_CDT_AMT_60TO90D_SMS_BANKING,RATIO_AVG_DEBIT_AMOUNT_AVG_CDT_AMT_60TO90D,Numerical,SMS
134,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_30_D,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_30_D,Numerical,ACTIVITY
135,AVG_DEBIT_AMOUNT_LAST30D_SMS_BANKING,AVG_DEBIT_AMOUNT_LAST30D,Numerical,SMS
136,MIN_CURRENT_BALANCE,CURRENT_BALANCE_MIN,Numerical,BUREAU
137,RATIO_CREDIT_RECOVERED_61TO90_LAST30D_CREDIT_RECOVERED_61TO90_LIFETIME,RATIO_CREDIT_RECOVERED_61TO90_LAST30D_CREDIT_RECOVERED_61TO90_LIFETIME,Numerical,Transaction
138,NUM_DEBIT_TXNS_LESSTHAN_100_30TO60D_SMS_BANKING,NUM_DEBIT_TXNS_LESSTHAN_100_30TO60D,Numerical,SMS
139,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_91_TO_120_D,NUM_CLICKED_BUTTON___SAVE_NEW_TRANSACTION_91_TO_120_D,Numerical,ACTIVITY
140,MIN_AVAILABLE_BALANCE_150TO180D_SMS_BANKING,MIN_AVAILABLE_BALANCE_150TO180D,Numerical,SMS
141,RATIO_CREDIT_RECOVERED_0TO90_LAST30D_CREDIT_RECOVERED_0TO90_330TO360D,RATIO_CREDIT_RECOVERED_0TO90_LAST30D_CREDIT_RECOVERED_0TO90_330TO360D,Numerical,Transaction
142,RATIO_COUNT_CREDIT_WEEK_OF_MONTH_FIRST_TRXNS_120TO150D_COUNT_CREDIT_WEEK_OF_MONTH_SECOND_TRXNS_30TO60D,RATIO_COUNT_CREDIT_WEEK_OF_MONTH_FIRST_TRXNS_120TO150D_COUNT_CREDIT_WEEK_OF_MONTH_SECOND_TRXNS_30TO60D,Numerical,Transaction
143,TOTAL_CREDIT_AMOUNT_LAST30D_CC_SMS_BANKING,TOTAL_CREDIT_CARD_CREDIT_AMOUNT_LAST30D,Numerical,SMS
144,AVG_CDT_AMT_LAST30D_CC_SMS_BANKING,AVG_CREDIT_CARD_CDT_AMT_LAST30D,Numerical,SMS
145,TOTAL_AVAILABLE_BALANCE_30TO60D_SMS_BANKING,TOTAL_AVAILABLE_BALANCE_30TO60D,Numerical,SMS
146,NUM_AVAILABLE_BALANCE_120TO150D_SMS_BANKING,NUM_AVAILABLE_BALANCE_120DTO150D,Numerical,SMS
147,COUNT_4_DPD_150_180_D,COUNT_4_DPD_150_180_D,Numerical,PERFORMANCE
148,TIMES_DPD_GT_30_LAST_720_DAYS,TIMES_DPD_GT_30_LAST_720_DAYS,Numerical,BUREAU
149,TOTAL_DEBIT_COUNT_BANK_TRANSFER_30TO60D_SMS_BANKING,TOTAL_DEBIT_COUNT_BANK_TRANSFER_30TO60D,Numerical,SMS
150,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_CLOSED,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_CLOSED,Numerical,BUREAU
151,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_180_TO_210_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_180_TO_210_DAYS,Numerical,BUREAU
152,COUNT_6_DPD_60_90_D,COUNT_6_DPD_60_90_D,Numerical,PERFORMANCE
153,NUM_NACH_BOUNCES_60D_SMS_BANKING,NUM_NACH_BOUNCES_60D,Numerical,SMS
154,MAX_DAYS_PAST_DUE_UNSECURED_90_TO_120_DAYS,MAX_DAYS_PAST_DUE_UNSECURED_90_TO_120_DAYS,Numerical,BUREAU
155,TOTAL_OVERDUE_AMOUNT_90TO120D,TOTAL_OVERDUE_AMOUNT_90TO120D,Numerical,SMS
156,MAX_DPD_180_210_D,MAX_DPD_180_210_D,Numerical,PERFORMANCE
157,MAX_DPD_210_270_D,MAX_DPD_210_270_D,Numerical,PERFORMANCE
158,MAX_DAYS_SINCE_LAST_PAYMENT_ACTIVE_P50,MAX_DAYS_SINCE_LAST_PAYMENT_ACTIVE_P50,Numerical,LOCATION
159,ACCOUNT_OPENED_IN_LAST_120_DAYS_WITH_AMOUNT_LT_50000,ACCOUNT_OPENED_IN_LAST_120_DAYS_WITH_AMOUNT_LT_50000,Numerical,BUREAU
160,AVG_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_CLOSED_AVG,AVG_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_CLOSED_AVG,Numerical,LOCATION
161,RATIO_COUNT_DAYS_TO_RECOVER_10_20_LAST30D_COUNT_DAYS_TO_RECOVER_10_20_120TO150D,RATIO_COUNT_DAYS_TO_RECOVER_10_20_LAST30D_COUNT_DAYS_TO_RECOVER_10_20_120TO150D,Numerical,Transaction
162,ACCOUNT_OPENED_IN_LAST_120_DAYS,ACCOUNT_OPENED_IN_LAST_120_DAYS,Numerical,BUREAU
163,NUM_MAINMONEYCLICK_151_TO_180_D,NUM_MAINMONEYCLICK_151_TO_180_D,Numerical,ACTIVITY
164,MAX_DAYS_PAST_DUE_60_TO_90_DAYS,MAX_DAYS_PAST_DUE_60_TO_90_DAYS,Numerical,BUREAU
165,DISTINCT_BANKS_WITH_LOAN_APPLIED_120TO150D,DISTINCT_BANKS_WITH_LOAN_APPLIED_120TO150D,Numerical,SMS
166,AVG_CURRENT_BALANCE,CURRENT_BALANCE_AVG,Numerical,BUREAU
167,NUM_SMS_WITH_OVERDUE_AMOUNT_90TO120D,NUM_OVERDUE_AMOUNT_90TO120D,Numerical,SMS
168,MAX_DAYS_PAST_DUE_ACTIVE_630_TO_660_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_630_TO_660_DAYS,Numerical,BUREAU
169,TOTAL_DEBIT_AMOUNT_LAST30D_SMS_BANKING,TOTAL_DEBIT_AMOUNT_LAST30D,Numerical,SMS
170,MAX_DPD_15_30_D,MAX_DPD_15_30_D,Numerical,PERFORMANCE
171,COUNT_1_DPD_60_90_D,COUNT_1_DPD_60_90_D,Numerical,PERFORMANCE
172,RATIO_NUM_DEBIT_TXNS_5000_TO_10000_LAST30D_VS_30TO60D_SMS_BANKING,RATIO_NUM_DEBIT_TXNS_5000_TO_10000_LAST30D_VS_30TO60D,Numerical,SMS
173,MIN_CURRENT_BALANCE_SECURED,MIN_CURRENT_BALANCE_SECURED,Numerical,BUREAU
174,RATIO_COUNT_DEBIT_WEEK_OF_MONTH_FOURTH_TRXNS_30TO60D_COUNT_DEBIT_WEEK_OF_MONTH_FOURTH_TRXNS_150TO180D,RATIO_COUNT_DEBIT_WEEK_OF_MONTH_FOURTH_TRXNS_30TO60D_COUNT_DEBIT_WEEK_OF_MONTH_FOURTH_TRXNS_150TO180D,Numerical,Transaction
175,MAX_DAYS_PAST_DUE_UNSECURED_300_TO_330_DAYS,MAX_DAYS_PAST_DUE_UNSECURED_300_TO_330_DAYS,Numerical,BUREAU
176,COUNT_CREDITS_NOT_RECOVERED_LAST30D,COUNT_CREDITS_NOT_RECOVERED_LAST30D,Numerical,Transaction
177,RATIO_AVG_CREDIT_WEEK_OF_MONTH_SECOND_TRXNS_LAST30D_AVG_CREDIT_WEEK_OF_MONTH_THIRD_TRXNS_30TO60D,RATIO_AVG_CREDIT_WEEK_OF_MONTH_SECOND_TRXNS_LAST30D_AVG_CREDIT_WEEK_OF_MONTH_THIRD_TRXNS_30TO60D,Numerical,Transaction
178,COUNT_0_DPD_15_30_D,COUNT_0_DPD_15_30_D,Numerical,PERFORMANCE
179,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_120_TO_150_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_120_TO_150_DAYS,Numerical,BUREAU
180,MIN_CURRENT_BALANCE_ACTIVE,MIN_CURRENT_BALANCE_ACTIVE,Numerical,BUREAU
181,NUM_CREDIT_TXNS_GREATERTHAN_10000_LAST30D_SMS_BANKING,NUM_CREDIT_TXNS_GREATERTHAN_10000_LAST30D,Numerical,SMS
182,AVG_OVERDUE_AMOUNT_30TO60D,AVG_OVERDUE_AMOUNT_30TO60D,Numerical,SMS
183,RATIO_OF_DISTINCT_BANKS_WITH_LOAN_APPLIED_LAST_30D_TO_30TO60D,RATIO_DISTINCT_BANKS_WITH_LOAN_APPLIED_LAST_30D_TO_30TO60D,Numerical,SMS
184,NUM_MAINSHOWHOMESCREENKYUBOTTOMSHEET_151_TO_180_D,NUM_MAINSHOWHOMESCREENKYUBOTTOMSHEET_151_TO_180_D,Numerical,ACTIVITY
